Top,Movie Title,MovieID,Rating,Year,Languages,Genres,Plot,Directors,Actors,Subjectivity,Polarity,Common Sentiment,Emotion Scale
71,Spice World,0120185,3.5,1997,English,"Comedy, Family, Music","Climb aboard the double decker Spice Bus and get ready for a madcap musical adventure with the sexy phenomenons of pop - the Spice Girls. An encounter with extra-terrestrials, a night in a haunted castle, and a moment of truth in a maternity ward are just a few of the escapades the endeavored upon as the Girls gear up for their first live concert at London's Royal Albert Hall.",Bob Spiers,"Mel B, Emma Bunton, Melanie C, Geri Horner, Victoria Beckham",0.5455064626608186,0.05712182683580914,Positive,"{'Happy': 0.1816, 'Angry': 0.052, 'Surprise': 0.3296, 'Sad': 0.184, 'Fear': 0.2536}"
72,Fifty Shades of Black,4667094,3.5,2016,English,Comedy,"Christian Black introduces shy college student Hannah Steale to the world of ""romance"" after she interviews him for her school newspaper. Their kinky relationship stumbles forward despite Christian's shortcomings as a lover and the antics of his racist adoptive mother Claire, his well-endowed brother Eli and Hannah's hyper-sexual roommate Kateesha..",Michael Tiddes,"Marlon Wayans, Kali Hawk, Fred Willard, Mike Epps, Affion Crockett",0.5156008029848393,0.13176374349516037,Positive,"{'Happy': 0.1732, 'Angry': 0.034, 'Surprise': 0.2748, 'Sad': 0.2476, 'Fear': 0.2684}"
73,The NeverEnding Story III,0110647,3.1,1994,English,"Adventure, Comedy, Family, Fantasy","Bastian's wish for a sibling comes true when his father remarries, but he's soon having trouble with new stepsister Nicole and with a gang of school bullies, The Nasties. Hiding in the school library, Bastian finds his favorite book, THE NEVERENDING STORY. Later it's found by the gang's leader Slip, who recognizes the book's power and starts to form Fantasia after his bad intentions. When the chaos worsens, the Child-like Empress requests Bastian to move back to the real world, get the book back, and save Fantasia. Some Fantasia characters accidentally travel with him into reality and get lost in different places. Meanwhile, Slip and the other Nasties spread anarchy. Finally, Bastian gets support from Nicole, who begins to believe in the power of Fantasia.",Peter MacDonald,"Jason James Richter, Melody Kay, Jack Black, Carole Finn, Ryan Bollman",0.5222536889844556,0.009917039505938485,Positive,"{'Happy': 0.1296, 'Angry': 0.0436, 'Surprise': 0.2716, 'Sad': 0.258, 'Fear': 0.296}"
74,Spy Kids 4: All the Time in the World,1517489,3.5,2011,English,"Action, Adventure, Comedy, Drama, Family, Fantasy, Music, Musical, Sci-Fi, Sport",,Robert Rodriguez,"Jessica Alba, Joel McHale, Rowan Blanchard, Mason Cook, Jeremy Piven",0.5292845451271849,0.04777017413013887,Positive,"{'Happy': 0.2256, 'Angry': 0.0444, 'Surprise': 0.2168, 'Sad': 0.1972, 'Fear': 0.3184}"
75,Jaws 3-D,0085750,3.7,1983,English,"Adventure, Horror, Thriller","Several years after Brody electrocuted the shark at Cable Junction, his sons, Mike and Sean, are now working in different roles at Sea World Orlando. Mike is working as a park engineer and considering marriage to his girlfriend, killer whale biologist Kathryn Morgan. Sean is also involved with 1 of the park's water skiers, Kelly Ann Bukowski. Sea World is about to open a massive 'Undersea Kingdom' which will bring visitors closer to marine life than ever before. The park is accessible from the ocean by a series of gates, one of which malfunctions. A young Great White Shark swims through the gate, and when a maintenance diver heads down to fix the gate he does not return. The young Great White is captured and placed in a tank but soon dies despite Kathryn's best efforts to save it. More alarming though, is the young shark's massive, 35 foot mother which has followed the baby shark into the lagoon and killed the maintenance diver, whose body is recovered. It isn't long before the huge shark begins wreaking havoc, and Mike and Kathryn, along with Sea World manager Calvin Bouchard and photographer Phillip Fitzroyce, must find a way to eliminate the shark before they - or the guests - become the shark's next meal.",Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch",0.5530394490792994,0.10326816997832897,Positive,"{'Happy': 0.1664, 'Angry': 0.0308, 'Surprise': 0.2756, 'Sad': 0.2048, 'Fear': 0.3228}"
76,Superman IV: The Quest for Peace,0094074,3.7,1987,"English, Russian, French, Italian","Action, Adventure, Sci-Fi","Superman does a lot in his newest adventure. Archvillain Lex Luthor, determined to make the world safe for nuclear arms merchants, creates a new being to challenge the Man of Steel: the radiation-charged Nuclear Man. The two super-powered foes clash in an explosive screen extranvaganza that sees Superman save the Statue of Liberty, repulse a volcanic eruption of Mount Etna, rebuild the demolished Great Wall of China and perform many more spetactular feats.",Sidney J. Furie,"Christopher Reeve, Gene Hackman, Jackie Cooper, Marc McClure, Jon Cryer",0.5144871321324705,0.06466939908659022,Positive,"{'Happy': 0.1375, 'Angry': 0.0454, 'Surprise': 0.26, 'Sad': 0.2213, 'Fear': 0.3354}"
77,Captain America,0103923,3.2,1990,English,"Action, Adventure, Sci-Fi, War","During World War II, a brave, patriotic American Soldier undergoes experiments to become a new supersoldier, ""Captain America."" Racing to Germany to sabotage the rockets of Nazi baddie ""Red Skull"", Captain America winds up frozen until the 1990s. He reawakens to find that the Red Skull has changed identities and is now planning to kidnap the President of the United States.",Albert Pyun,"Matt Salinger, Ronny Cox, Ned Beatty, Darren McGavin, Michael Nouri",0.503888896180903,0.08246449138714296,Positive,"{'Happy': 0.1388, 'Angry': 0.0816, 'Surprise': 0.2648, 'Sad': 0.2204, 'Fear': 0.294}"
78,Black Christmas,10481868,3.4,2019,English,"Horror, Mystery, Thriller","Hawthorne College is quieting down for the holidays. One by one, sorority girls on campus are being killed by an unknown stalker. But the killer is about to discover that this generation's young women aren't willing to become hapless victims as they mount a fight to the finish.",Sophia Takal,"Imogen Poots, Aleyse Shannon, Lily Donoghue, Brittany O'Grady, Caleb Eberhardt",0.5795034084077268,-0.09460640622539059,Negative,"{'Happy': 0.066, 'Angry': 0.0536, 'Surprise': 0.288, 'Sad': 0.2764, 'Fear': 0.3164}"
79,The Wicker Man,0450345,3.7,2006,English,"Horror, Mystery, Thriller",,Neil LaBute,"Nicolas Cage, Ellen Burstyn, Kate Beahan, Frances Conroy, Molly Parker",0.562600938971041,-0.007008239218517499,Negative,"{'Happy': 0.106, 'Angry': 0.0432, 'Surprise': 0.2868, 'Sad': 0.2592, 'Fear': 0.3056}"
80,The Adventures of Sharkboy and Lavagirl 3-D,0424774,3.6,2005,English,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","Max is a normal guy with a dreaming habit-making him a target for bullies. One day, he accidentally summons imaginary characters in his mind named sharkboy and lavagirl. They are his heroes who will defend him at all costs, but when they arrive for real, something unexpected happens, the 2 heroes need max to save their world from a dire threat",Robert Rodriguez,"Taylor Lautner, Taylor Dooley, Cayden Boyd, George Lopez, David Arquette",0.5263575915876142,0.16730773580248737,Positive,"{'Happy': 0.22, 'Angry': 0.0392, 'Surprise': 0.2932, 'Sad': 0.176, 'Fear': 0.232}"
