Top,Movie Title,MovieID,Rating,Year,Languages,Genres,Plot,Directors,Actors,Subjectivity,Polarity,Common Sentiment,Emotion Scale
149,Evaru,10545484,8.2,2019,Telugu,"Crime, Drama, Mystery, Thriller","When a high-ranking police official is killed by his alleged rape victim, Sub-inspector Vikram Vasudev is entrusted with investigating what seems like an open-and-shut case. As he delves deeper, Vikram finds the case spiralling into a dark tale filled with unexpected surprises.",Venkat Ramji,"Adivi Sesh, Regina Cassandra, Naveen Chandra, Murli Sharma, Dheeraj Aathreya",0.5738958019517759,0.34543550765972847,Positive,"{'Happy': 0.2224, 'Angry': 0.0172, 'Surprise': 0.3736, 'Sad': 0.1488, 'Fear': 0.2372}"
150,Padosan,0063404,8.0,1968,Hindi,"Comedy, Musical, Romance","Bhola (Sunil Dutt) is a simple minded young man who has taken a vow to act according to the book of shashtras, which dictate that a man must marry when he is of the right age. He meets with lovely Bindu (Saira Banu) and falls head in love with her. Coincidentally, Bindu moves in next to his house. Bhola is thrilled, but soon despairs when he learns that Bindu has given her heart to Master Pillai (Mehmood). Bhola's friends Vidyapathi (Kishore Kumar), Banarasi (Mukri), and others belonging to an acting troupe, assist in hoodwinking Bindu to get attracted to Bhola, and thereby getting his love life back, but there are unexpected twists and turns, and Bhola's lies are exposed, making Bindu return to her plans to marry Master Pillai. Songs include: ""Me chali me chali dekho pyar ki gali mujhe rokhe na koi...""; ""Bhai bathur ab jaienge kitni door, najook najook meri jawani chalne se majboor...""; ""Ik chatur naar karke singhar mere man ke duar ye goosath jaat...""; ""Sarm ahti hai magar aaj yeh kahena hoga ab hamey aap ke kadmon main rahena hoga...""; ""Kahena hai kahena hai akhir aaj ye tumse pehli baar, tum hi to lai ho jeevan me mere pyar pyar pyar...."".",Jyoti Swaroop,"Sunil Dutt, Saira Banu, Mehmood, Kishore Kumar, Om Prakash",0.6013750535143885,0.30315498278633846,Positive,"{'Happy': 0.2238, 'Angry': 0.0454, 'Surprise': 0.3363, 'Sad': 0.1517, 'Fear': 0.2417}"
151,Ulidavaru Kandanthe,3394420,8.4,2014,Kannada,"Crime, Drama, Thriller","Malpe is a small fishing town on the Arabian Coast, located 6 kilometers to the west of the temple town of Udupi. Malpe's beaches are washed clean everyday by the sea. The waves ensure that nothing gets left behind on the sands. But then, the waves cannot reach everything. It is the time of the year when Udupi and its surroundings are decked up to celebrate Sri Krishna Janmaashtami (The Birth of Lord Krishna). Men and children walk the streets dressed up as characters from mythology. Teams painted as tigers are seen dancing to drum beats all around the town. But violence seems to be brewing in Malpe this Krishna Janmaashtami and it is going change the lives of the ones' involved forever.",Rakshit Shetty,"Kishore Kumar G., Rakshit Shetty, Thara, Achyuth Kumar, Rishab Shetty",0.5504934944831621,0.22521663135824802,Positive,"{'Happy': 0.1748, 'Angry': 0.0384, 'Surprise': 0.3, 'Sad': 0.1832, 'Fear': 0.3024}"
152,Aadukalam,1821317,8.1,2011,Tamil,"Action, Drama, Sport, Thriller","Rearing roosters, maintaining them and using them for fights are a way of life and a matter of honor and lifeline to many people. In such a tenement, Pettaikaaran (Jayabalan) leads a very respectable life with his key aides Durai (Kishore) and Karuppu (Dhanush) along with others. His main adversary in hen fights is Rathinam, the police inspector. Pettaikaarar is known to have an impeccable track record of successes when it comes to fowl fights especially with Rathinam's. In an unexpected situation, Pettaikaaran challenges Rathinam to a fowl contest which witnesses Karuppu violating his mentor Pettaikaarar's word but emerging successfully with enviable proceeds. This results in the swelling of his status among his folks which plants the seeds of animosity in the minds of Pettaikaaran. What follows is an interesting and unexpected path with twists and turns highlighting on the way the multiple layers of human emotions with sense playing truant.",Vetrimaaran,"Dhanush, Taapsee Pannu, Jayabalan, Kishore Kumar G., Aadukalam Naren",0.5292523316847401,0.2629663674724739,Positive,"{'Happy': 0.2211, 'Angry': 0.0353, 'Surprise': 0.26, 'Sad': 0.1726, 'Fear': 0.3105}"
153,Dev.D,1327035,7.9,2009,Hindi,"Comedy, Drama, Romance","Dev who, after spurning Paro's love due to a misunderstanding, turns to drugs and vodka for solace. Paro moves on but Dev still is in remorse. He meets Chanda, a prostitute with problems of her own. Dev likes her but his penchant for self-destruction prevents him and Chanda from truly getting together. He also meets sleazy people like Chunni, Chanda's pimp who drags Dev further into self-destruction to further his own needs.",Anurag Kashyap,"Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya, Manoj Bakshi",0.5250929556135678,0.210853085925388,Positive,"{'Happy': 0.1592, 'Angry': 0.0556, 'Surprise': 0.276, 'Sad': 0.1856, 'Fear': 0.3236}"
154,Maanagaram,5559528,8.1,2017,Tamil,"Action, Thriller","A City based thriller that travels on the Hyperlink plot connecting the four youngsters from the different walks of lives. Maanagaram will focalize upon Chennai city as one of the major characters in this film, where the backdrops would indeed become a prominent ingredient of this tale.",Lokesh Kanagaraj,"Sundeep Kishan, Sri, Regina Cassandra, Charlie, Munishkanth",0.5703542224704511,0.23884903732438356,Positive,"{'Happy': 0.2028, 'Angry': 0.038, 'Surprise': 0.3096, 'Sad': 0.1964, 'Fear': 0.2544}"
155,Nayattu,11604676,8.1,2021,Malayalam,"Crime, Thriller",,Martin Prakkat,"Kunchacko Boban, Joju George, Nimisha Sajayan, Jaffer Idukki, Yama Gilgamesh",0.5637539477649105,0.13760423983596345,Positive,"{'Happy': 0.1352, 'Angry': 0.0672, 'Surprise': 0.2256, 'Sad': 0.1832, 'Fear': 0.3876}"
156,Thondi Muthalum Driksakshiyum,5906392,8.1,2017,Malayalam,"Crime, Drama, Thriller",,Dileesh Pothan,"Fahadh Faasil, Suraj Venjaramoodu, Nimisha Sajayan, Alencier Ley Lopez, Sibi Thomas",0.5228420741319225,0.2661765487283342,Positive,"{'Happy': 0.194, 'Angry': 0.0384, 'Surprise': 0.2464, 'Sad': 0.2092, 'Fear': 0.3116}"
157,My Name Is Khan,1188996,7.9,2010,"Hindi, English","Drama, Romance","Rizwan Khan, a Muslim from the Borivali section of Mumbai, suffers from Asperger's syndrome, a form of high-functioning autism that complicates socialization. The adult Rizwan marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who mistake his disability for suspicious behavior. Following his arrest, he meets Radha, a therapist who helps him deal with his situation and his affliction. Rizwan then begins a journey to meet US President Bush to clear his name.",Karan Johar,"Shah Rukh Khan, Kajol, Katie Amanda Keane, Kenton Duty, Benny Nieves",0.5440616709131612,0.20567798074704743,Positive,"{'Happy': 0.1492, 'Angry': 0.0448, 'Surprise': 0.2552, 'Sad': 0.2432, 'Fear': 0.3068}"
158,777 Charlie,7466810,9.3,2022,"Kannada, Malayalam, Tamil, Telugu, Hindi","Adventure, Comedy, Drama",The protagonist is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie who is naughty and energetic which makes him complete contrast with the protagonists' character enters his life and gives him a new perspective towards it.,Kiranraj K,"Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty, Bobby Simha",0.5590925620555491,0.33760551918620096,Positive,"{'Happy': 0.202, 'Angry': 0.0324, 'Surprise': 0.31, 'Sad': 0.248, 'Fear': 0.2068}"
